filename,label,feature,value,z_score
serbian6.wav,Human,mfcc4V_sma3nz_stddevNorm,-117190.945,45.62
japanese26.wav,Human,mfcc3_sma3_stddevNorm,4901.463,45.49
english290.wav,Human,slopeV0-500_sma3nz_stddevNorm,-14916.134,44.54
romanian15.wav,Human,logRelF0-H1-A3_sma3nz_stddevNorm,128.88591,42.95
english60.wav,Human,slopeV500-1500_sma3nz_stddevNorm,348.08347,40.01
english495.wav,Human,HNRdBACF_sma3nz_stddevNorm,57.1079,38.59
english56.wav,Human,mfcc1_sma3_stddevNorm,-104.79586,34.19
macedonian21.wav,Human,mfcc4_sma3_stddevNorm,4251.437,32.76
vlaams4.wav,Human,mfcc2_sma3_stddevNorm,-2391.4229,31.46
english336.wav,Human,mfcc1V_sma3nz_stddevNorm,18.868074,29.59
english435.wav,Human,mfcc2_sma3_stddevNorm,-2218.596,29.19
english179.wav,Human,logRelF0-H1-H2_sma3nz_stddevNorm,-1431.5089,29.01
armenian6.wav,Human,logRelF0-H1-H2_sma3nz_stddevNorm,1368.0283,27.66
taiwanese8.wav,Human,mfcc3V_sma3nz_stddevNorm,594.6665,26.75
nepali10.wav,Human,mfcc3V_sma3nz_stddevNorm,539.1907,24.25
english97.wav,Human,mfcc1_sma3_stddevNorm,74.51582,23.71
dutch7.wav,Human,mfcc2V_sma3nz_stddevNorm,-603.4395,23.4
mandarin4.wav,Human,mfcc3V_sma3nz_stddevNorm,510.8306,22.97
chaldean1.wav,Human,alphaRatioV_sma3nz_stddevNorm,26.994799,21.94
english56.wav,Human,hammarbergIndexV_sma3nz_stddevNorm,7.961658,21.34
ea7a1183-2cce-4de4-a8ba-44b6c80876d6.wav,AI,mfcc4_sma3_stddevNorm,2707.345,20.86
english159.wav,Human,hammarbergIndexV_sma3nz_stddevNorm,7.3918886,19.72
english34.wav,Human,mfcc2V_sma3nz_stddevNorm,-501.80188,19.47
igbo3.wav,Human,logRelF0-H1-H2_sma3nz_stddevNorm,914.52466,18.48
russian32.wav,Human,mfcc4_sma3_stddevNorm,-2388.0264,18.4
english469.wav,Human,hammarbergIndexV_sma3nz_stddevNorm,6.865528,18.23
spanish56.wav,Human,alphaRatioV_sma3nz_stddevNorm,-23.518631,18.16
english313.wav,Human,alphaRatioV_sma3nz_stddevNorm,-23.425167,18.09
farsi12.wav,Human,mfcc1V_sma3nz_stddevNorm,11.332275,17.49
english450.wav,Human,MeanUnvoicedSegmentLength,1.6185714,16.89
english175.wav,Human,slopeV0-500_sma3nz_stddevNorm,-5458.6216,16.28
english458.wav,Human,mfcc2_sma3_stddevNorm,1170.9669,15.39
french7.wav,Human,mfcc2V_sma3nz_stddevNorm,-390.32233,15.15
english145.wav,Human,logRelF0-H1-H2_sma3nz_amean,82.19846,14.9
arabic12.wav,Human,alphaRatioV_sma3nz_stddevNorm,-19.392775,14.88
finnish2.wav,Human,HNRdBACF_sma3nz_stddevNorm,22.315405,14.85
hindi2.wav,Human,mfcc1V_sma3nz_stddevNorm,-8.697404,14.69
french15.wav,Human,MeanUnvoicedSegmentLength,1.435,14.66
english231.wav,Human,slopeV500-1500_sma3nz_stddevNorm,122.49456,14.14
english56.wav,Human,mfcc1V_sma3nz_stddevNorm,9.137344,13.96
english265.wav,Human,spectralFluxUV_sma3nz_amean,1.4221554,13.77
hindi14.wav,Human,mfcc4V_sma3nz_stddevNorm,34741.055,13.54
english495.wav,Human,spectralFluxV_sma3nz_stddevNorm,2.1443257,12.92
french15.wav,Human,StddevUnvoicedSegmentLength,1.4560992,12.81
english324.wav,Human,mfcc1_sma3_stddevNorm,-38.48324,12.78
turkish15.wav,Human,MeanUnvoicedSegmentLength,1.275,12.72
english159.wav,Human,HNRdBACF_sma3nz_stddevNorm,-17.57576,12.38
spanish143.wav,Human,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,1025.6116,12.13
polish23.wav,Human,logRelF0-H1-H2_sma3nz_stddevNorm,-585.1186,11.88
kurdish10.wav,Human,mfcc3V_sma3nz_stddevNorm,-259.02505,11.79
twi2.wav,Human,HNRdBACF_sma3nz_stddevNorm,-16.674957,11.76
bari1.wav,Human,mfcc4_sma3_stddevNorm,-1476.8999,11.38
english317.wav,Human,spectralFluxUV_sma3nz_amean,1.1832728,11.17
cantonese12.wav,Human,alphaRatioV_sma3nz_stddevNorm,-14.623629,11.1
english336.wav,Human,hammarbergIndexV_sma3nz_stddevNorm,-3.438369,11.01
turkish15.wav,Human,StddevUnvoicedSegmentLength,1.2828414,10.97
farsi12.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,40.04293,10.9
english469.wav,Human,mfcc1V_sma3nz_stddevNorm,7.1232967,10.72
lithuanian1.wav,Human,mfcc2V_sma3nz_stddevNorm,-270.88773,10.52
english317.wav,Human,MeanVoicedSegmentLengthSec,0.6431428,10.38
bengali16.wav,Human,mfcc3_sma3_stddevNorm,-1107.0371,10.31
english469.wav,Human,logRelF0-H1-A3_sma3nz_stddevNorm,-30.267023,10.3
english245.wav,Human,logRelF0-H1-H2_sma3nz_amean,-45.85522,10.19
norwegian3.wav,Human,alphaRatioV_sma3nz_stddevNorm,-13.4520235,10.17
english191.wav,Human,alphaRatioV_sma3nz_stddevNorm,-13.037529,9.84
hadiyya1.wav,Human,mfcc4_sma3_stddevNorm,-1265.4268,9.75
shona2.wav,Human,mfcc1V_sma3nz_stddevNorm,6.459264,9.66
english450.wav,Human,F1bandwidth_sma3nz_stddevNorm,0.5694019,9.65
english265.wav,Human,spectralFlux_sma3_amean,1.2978628,9.62
english113.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,34.899796,9.31
english303.wav,Human,slopeV500-1500_sma3nz_stddevNorm,-80.828255,9.18
spanish41.wav,Human,mfcc2V_sma3nz_stddevNorm,-230.92017,8.97
english450.wav,Human,jitterLocal_sma3nz_amean,0.07784794,8.9
a5492168-9fb6-4560-a220-12579a1f52ac.wav,AI,mfcc3V_sma3nz_stddevNorm,199.31114,8.9
portuguese13.wav,Human,logRelF0-H1-A3_sma3nz_stddevNorm,27.007225,8.86
faba3964-c7df-4e92-8045-6a858a4f7a81.wav,AI,mfcc2V_sma3nz_stddevNorm,229.2716,8.85
english450.wav,Human,hammarbergIndexV_sma3nz_stddevNorm,-2.646499,8.76
english45.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,33.02498,8.74
mandarin30.wav,Human,mfcc1V_sma3nz_stddevNorm,5.869809,8.71
chaldean1.wav,Human,hammarbergIndexV_sma3nz_stddevNorm,3.5037653,8.69
portuguese36.wav,Human,logRelF0-H1-A3_sma3nz_stddevNorm,-25.395994,8.67
english336.wav,Human,F1bandwidth_sma3nz_stddevNorm,0.5278707,8.62
english495.wav,Human,logRelF0-H1-A3_sma3nz_amean,-34.075127,8.61
vietnamese10.wav,Human,mfcc2V_sma3nz_stddevNorm,223.07117,8.61
english495.wav,Human,logRelF0-H1-H2_sma3nz_amean,-37.724667,8.6
english450.wav,Human,StddevUnvoicedSegmentLength,1.055346,8.57
english566.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,32.46335,8.56
chaldean1.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,32.409172,8.55
english450.wav,Human,F1bandwidth_sma3nz_amean,680.30615,8.47
ibibio3.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,31.95847,8.41
english45.wav,Human,alphaRatioV_sma3nz_stddevNorm,9.936007,8.4
english515.wav,Human,mfcc2V_sma3nz_stddevNorm,-214.31203,8.33
english450.wav,Human,shimmerLocaldB_sma3nz_amean,2.7089455,8.31
kiswahili3.wav,Human,slopeV500-1500_sma3nz_stddevNorm,-73.24333,8.31
cantonese9.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,31.370396,8.23
english317.wav,Human,StddevVoicedSegmentLengthSec,0.44826508,8.21
english159.wav,Human,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,31.195353,8.17
spanish105.wav,Human,loudness_sma3_pctlrange0-2,2.5227823,8.15
2026-03-08 16-18-01.wav,AI,StddevUnvoicedSegmentLength,1.0083753,8.07
spanish105.wav,Human,loudness_sma3_percentile80.0,2.884024,8.06
spanish36.wav,Human,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,1441.6163,8.04
